Year,Country of asylum,Country of asylum (ISO),Region,sub-region,Female_workingAge,Male_workingAge,Total
2019,Afghanistan,AFG,Asia,Southern Asia,566050,566478,1132528
2019,Albania,ALB,Europe,Southern Europe,520,685,1205
2019,Algeria,DZA,Africa,Northern Africa,1912,4606,6518
2019,Angola,AGO,Africa,Sub-Saharan Africa,1944,1856,3800
2019,Egypt,EGY,Africa,Northern Africa,71507,75790,147297
2019,Argentina,ARG,Americas,Latin America and the Caribbean,3266,4816,8082
2019,Armenia,ARM,Asia,Western Asia,1527,1616,3143
2019,Austria,AUT,Europe,Western Europe,0,0,0
2019,Azerbaijan,AZE,Asia,Western Asia,290,520,810
2019,Bahrain,BHR,Asia,Western Asia,113,105,218
2019,Barbados,BRB,Americas,Latin America and the Caribbean,10,0,10
2019,Burundi,BDI,Africa,Sub-Saharan Africa,38526,27255,65781
2019,Benin,BEN,Africa,Sub-Saharan Africa,513,696,1209
2019,Bangladesh,BGD,Asia,Southern Asia,203384,162273,365657
2019,Bahamas,BHS,Americas,Latin America and the Caribbean,10,10,20
2019,Burkina Faso,BFA,Africa,Sub-Saharan Africa,116783,95303,212086
2019,Belarus,BLR,Europe,Eastern Europe,61,100,161
2019,Botswana,BWA,Africa,Sub-Saharan Africa,280,463,743
2019,Bosnia and Herzegovina,BIH,Europe,Southern Europe,2198,2001,4199
2019,Cambodia,KHM,Asia,South-eastern Asia,5,17,22
2019,Central African Rep.,CAF,Africa,Sub-Saharan Africa,153076,144687,297763
2019,Cayman Islands,CYM,Americas,Latin America and the Caribbean,0,0,0
2019,Chad,TCD,Africa,Sub-Saharan Africa,184459,109807,294266
2019,China,CHN,Asia,Eastern Asia,362,453,815
2019,Chile,CHL,Americas,Latin America and the Caribbean,3627,3160,6787
2019,Cameroon,CMR,Africa,Sub-Saharan Africa,93690,75979,169669
2019,Congo,COG,Africa,Sub-Saharan Africa,10878,13020,23898
2019,Dem. Rep. of the Congo,COD,Africa,Sub-Saharan Africa,1061716,868522,1930238
2019,Colombia,COL,Americas,Latin America and the Caribbean,1209,1232,2441
2019,Costa Rica,CRI,Americas,Latin America and the Caribbean,26,20,46
2019,Cuba,CUB,Americas,Latin America and the Caribbean,51,192,243
2019,Czechia,CZE,Europe,Eastern Europe,124,227,351
2019,Djibouti,DJI,Africa,Sub-Saharan Africa,7379,8176,15555
2019,Dominican Rep.,DOM,Americas,Latin America and the Caribbean,13229,11048,24277
2019,Eritrea,ERI,Africa,Sub-Saharan Africa,36,58,94
2019,Ethiopia,ETH,Africa,Sub-Saharan Africa,157826,107968,265794
2019,Finland,FIN,Europe,Northern Europe,0,0,0
2019,France,FRA,Europe,Western Europe,0,0,0
2019,Gabon,GAB,Africa,Sub-Saharan Africa,170,202,372
2019,Gambia,GMB,Africa,Sub-Saharan Africa,1184,979,2163
2019,United Kingdom of Great Britain and Northern Ireland,GBR,Europe,Northern Europe,0,0,0
